enc,tra,Papers_MyKey,Count_unique_papers
learnable and adaptive encoding,Surrogate gradient,"['P01', 'P02', 'P03', 'P05', 'P08', 'P09', 'P17', 'P18']",8
learnable encoding,Surrogate gradient,"['P07', 'P11', 'P12', 'P14', 'P15']",5
Adaptive encoding,Surrogate gradient,"['P10', 'P16', 'P19']",3
learnable encoding,ANN-to-SNN Conversion Method,"['P06', 'P11']",2
Adaptive encoding,Local learning rule,['P04'],1
learnable and adaptive encoding,ANN-to-SNN Conversion Method,['P13'],1
